Country,Year,Type,Value,Sector,Dept,Programme,Name,Notes,Change,,,,,,,
Papua New Guinea,2012,aggr,10943900 ,,,,Total Expenditure and Net Lending,,,,,,,,,
Papua New Guinea,2013,aggr,13218700 ,,,,Total Expenditure and Net Lending,,0.2,,,,,,,
Papua New Guinea,2014,aggr,15041500 ,,,,Total Expenditure and Net Lending,,0.1,,,,,,,
Papua New Guinea,2012,aggr,900000 , health ,,,Health Spending,,,,,,,,,
Papua New Guinea,2013,aggr,1089000 , health ,,,Health Spending,,0.2,,,,,,,
Papua New Guinea,2014,aggr,1382300 , health ,,,Health Spending,,0.3,,,,,,,
Papua New Guinea,2012,aggr,15890, health ,520,,National AIDS Council Secretariat,,,,,,,,,
Papua New Guinea,2013,aggr,25503, health ,520,,National AIDS Council Secretariat,,0.6,,,,,,,
Papua New Guinea,2014,aggr,27281, health ,520,,National AIDS Council Secretariat,,0.1,,,,,,,
Papua New Guinea,2012,aggr,15746, health ,520,,Institute of Medical Research,,,,,,,,,
Papua New Guinea,2013,aggr,10702, health ,520,,Institute of Medical Research,,-0.3,,,,,,,
Papua New Guinea,2014,aggr,11702, health ,520,,Institute of Medical Research,,0.1,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,,Treasury and Misc,,,,,,,,,
Papua New Guinea,2013,aggr,95100, health ,207,,Treasury and Misc,,0.0,,,,,,,
Papua New Guinea,2014,aggr,78300, health ,207,,Treasury and Misc,,-0.2,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2076,Hospital Management Services Awards- different Health Worker,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,207,2077,Kunjip Hospital Redevelopment,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2013,aggr,20000, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2013,aggr,20100, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2013,aggr,25000, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
Papua New Guinea,2013,aggr,30000, health ,207,2076,Hospital Management Services Awards- different Health Worker,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,207,2077,Kunjip Hospital Redevelopment,,,,,,,,,
Papua New Guinea,2014,aggr,31300, health ,207,2071,Primary Health and Hospital Services,,,,,,,,,
Papua New Guinea,2014,aggr,20000, health ,207,2072,Free Primary Healthcare,,,,,,,,,
Papua New Guinea,2014,aggr,8000, health ,207,2073,Hospital Design for Central & Hela Provinces,,,,,,,,,
Papua New Guinea,2014,aggr,, health ,207,2074,Outstanding Allowances for Health Extension Officers,,,,,,,,,
Papua New Guinea,2014,aggr,15000, health ,207,2075,"Provincial Health Authorities (Milne Bay, EHP,WHP)",,,,,,,,,
Papua New Guinea,2014,aggr,, health ,207,2076,Hospital Management Services Awards- different Health Worker,,,,,,,,,
Papua New Guinea,2014,aggr,4000, health ,207,2077,Kunjip Hospital Redevelopment,,,,,,,,,
Papua New Guinea,2012,aggr,248600, health ,240,,Dept of Health,,,,,,,,,
Papua New Guinea,2013,aggr,422763, health ,240,,Dept of Health,,0.7,,,,,,,
Papua New Guinea,2014,aggr,666262, health ,240,,Dept of Health,,0.6,,,,,,,
Papua New Guinea,2012,aggr,6076, health ,240,2401,Disease Control,,,,,,,,,
Papua New Guinea,2012,aggr,859, health ,240,2402,Environmental Health and Water Supply,,,,,,,,,
Papua New Guinea,2012,aggr,2166, health ,240,2403,Family Health Services,,,,,,,,,
Papua New Guinea,2012,aggr,671, health ,240,2404,Health Promotion and Education,,,,,,,,,
Papua New Guinea,2012,aggr,27909, health ,240,2405,Human Resource Development,,,,,,,,,
Papua New Guinea,2012,aggr,121668, health ,240,2406,Medical Supplies and Equipment,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,240,2407,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2012,aggr,51926, health ,240,2408,Top Management and General administration,,,,,,,,,
Papua New Guinea,2012,aggr,30365, health ,240,2409,Urban Health Facilities,,,,,,,,,
Papua New Guinea,2012,aggr,0, health ,240,24091,Hiv / Aids,,,,,,,,,
Papua New Guinea,2012,aggr,6960, health ,240,24092,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2013,aggr,7233, health ,240,2401,Disease Control,,,,,,,,,
Papua New Guinea,2013,aggr,1209, health ,240,2402,Environmental Health and Water Supply,,,,,,,,,
Papua New Guinea,2013,aggr,3016, health ,240,2403,Family Health Services,,,,,,,,,
Papua New Guinea,2013,aggr,23003, health ,240,2404,Health Promotion and Education,,,,,,,,,
Papua New Guinea,2013,aggr,33715, health ,240,2405,Human Resource Development,,,,,,,,,
Papua New Guinea,2013,aggr,164695, health ,240,2406,Medical Supplies and Equipment,,,,,,,,,
Papua New Guinea,2013,aggr,0, health ,240,2407,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2013,aggr,94050, health ,240,2408,Top Management and General administration,,,,,,,,,
Papua New Guinea,2013,aggr,33220, health ,240,2409,Urban Health Facilities,,,,,,,,,
Papua New Guinea,2013,aggr,38292, health ,240,24091,Hiv / Aids,,,,,,,,,
Papua New Guinea,2013,aggr,24330, health ,240,24092,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2014,aggr,9373, health ,240,2401,Disease Control,,,,,,,,,
Papua New Guinea,2014,aggr,1459, health ,240,2402,Environmental Health and Water Supply,,,,,,,,,
Papua New Guinea,2014,aggr,3039, health ,240,2403,Family Health Services,,,,,,,,,
Papua New Guinea,2014,aggr,5989, health ,240,2404,Health Promotion and Education,,,,,,,,,
Papua New Guinea,2014,aggr,45446, health ,240,2405,Human Resource Development,,,,,,,,,
Papua New Guinea,2014,aggr,192565, health ,240,2406,Medical Supplies and Equipment,,,,,,,,,
Papua New Guinea,2014,aggr,65236, health ,240,2407,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2014,aggr,165281, health ,240,2408,Top Management and General administration,,,,,,,,,
Papua New Guinea,2014,aggr,30157, health ,240,2409,Urban Health Facilities,,,,,,,,,
Papua New Guinea,2014,aggr,118226, health ,240,24091,Hiv / Aids,,,,,,,,,
Papua New Guinea,2014,aggr,29490, health ,240,24092,Rural Health Support Services,,,,,,,,,
Papua New Guinea,2012,aggr,433573, health ,241,,Hospital Management Services,,,,,,,,,
Papua New Guinea,2013,aggr,510553, health ,241,,Hospital Management Services,,0.2,,,,,,,
Papua New Guinea,2014,aggr,598601, health ,241,,Hospital Management Services,,0.2,,,,,,,
Papua New Guinea,2012,aggr,87946,health,241,2412,Church Health Services,,,,,,,,,
Papua New Guinea,2012,aggr,301934,health,241,2413,Hospital Services,,,,,,,,,
Papua New Guinea,2012,aggr,43692,health,241,2414,Provincial Health Authority,,,,,,,,,
Papua New Guinea,2013,aggr,94420,health,241,2412,Church Health Services,,,,,,,,,
Papua New Guinea,2013,aggr,336804,health,241,2413,Hospital Services,,,,,,,,,
Papua New Guinea,2013,aggr,79329,health,241,2414,Provincial Health Authority,,,,,,,,,
Papua New Guinea,2014,aggr,106300,health,241,2412,Church Health Services,,,,,,,,,
Papua New Guinea,2014,aggr,407589,health,241,2413,Hospital Services,,,,,,,,,
Papua New Guinea,2014,aggr,84713,health,241,2414,Provincial Health Authority,,,,,,,,,
Papua New Guinea,2012,aggr,768653.8,education,,,Education Spending,,,,,,,,,
Papua New Guinea,2013,aggr,1343000,education,,,Education Spending,,0.7,,,,,,,
Papua New Guinea,2014,aggr,1501700,education,,,Education Spending,,0.1,,,,,,,
Papua New Guinea,2012,aggr,0,education,207, ,Treasury and Misc,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,207,,Treasury and Misc,,,,,,,,,
Papua New Guinea,2014,aggr,3000000,education,207,,Treasury and Misc,,,,,,,,,
Papua New Guinea,2012,aggr,83287,education,236, ,Office of Higher Education,,,,,,,,,
Papua New Guinea,2013,aggr,71551,education,236,,Office of Higher Education,,-0.1,,,,,,,
Papua New Guinea,2014,aggr,210208,education,236,,Office of Higher Education,,1.9,,,,,,,
Papua New Guinea,2012,aggr,0,education,236,2361,"Research, Science & Technology Council",,,,,,,,,
Papua New Guinea,2012,aggr,0,education,236,2362,2013 Joint Understanding: Rehabilitation of UPNG,,,,,,,,,
Papua New Guinea,2012,aggr,0,education,236,2363,West Pacific University,,,,,,,,,
Papua New Guinea,2012,aggr,0,education,236,2364,Science Research Council,,,,,,,,,
Papua New Guinea,2012,aggr,0,education,236,2365,National Open University,,,,,,,,,
Papua New Guinea,2012,aggr,7303.9,education,236,2366,Office of Higher Education,,,,,,,,,
Papua New Guinea,2012,aggr,308,education,236,2367,Minister's Admin Support Services,,,,,,,,,
Papua New Guinea,2012,aggr,35175.3,education,236,2368,Tertiary Educn Study Assistance Scheme,,,,,,,,,
Papua New Guinea,2012,aggr,6500,education,236,2369,National Scholarships Scheme,,,,,,,,,
Papua New Guinea,2012,aggr,19999.9,education,236,23691,Trade Skills Scholarship,,,,,,,,,
Papua New Guinea,2012,aggr,12000,education,236,23692,Infrastructure & Rehabilitation & Recapitalisation,,,,,,,,,
Papua New Guinea,2012,aggr,2000,education,236,23693,OHE ICT Improvement Project,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,2361,"Research, Science & Technology Council",,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,2362,2013 Joint Understanding: Rehabilitation of UPNG,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,2363,West Pacific University,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,2364,Science Research Council,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,2365,National Open University,,,,,,,,,
Papua New Guinea,2013,aggr,5910,education,236,2366,Office of Higher Education,,,,,,,,,
Papua New Guinea,2013,aggr,280,education,236,2367,Minister's Admin Support Services,,,,,,,,,
Papua New Guinea,2013,aggr,39240.5,education,236,2368,Tertiary Educn Study Assistance Scheme,,,,,,,,,
Papua New Guinea,2013,aggr,6120,education,236,2369,National Scholarships Scheme,,,,,,,,,
Papua New Guinea,2013,aggr,20000,education,236,23691,Trade Skills Scholarship,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,23692,Infrastructure & Rehabilitation & Recapitalisation,,,,,,,,,
Papua New Guinea,2013,aggr,0,education,236,23693,OHE ICT Improvement Project,,,,,,,,,
Papua New Guinea,2014,aggr,1052,education,236,2361,"Research, Science & Technology Council",,,,,,,,,
Papua New Guinea,2014,aggr,40647,education,236,2362,2013 Joint Understanding: Rehabilitation of UPNG,,,,,,,,,
Papua New Guinea,2014,aggr,80876,education,236,2363,West Pacific University,,,,,,,,,
Papua New Guinea,2014,aggr,6000,education,236,2364,Science Research Council,,,,,,,,,
Papua New Guinea,2014,aggr,5000,education,236,2365,National Open University,,,,,,,,,
Papua New Guinea,2014,aggr,5194.5,education,236,2366,Office of Higher Education,,,,,,,,,
Papua New Guinea,2014,aggr,301.7,education,236,2367,Minister's Admin Support Services,,,,,,,,,
Papua New Guinea,2014,aggr,40017.1,education,236,2368,Tertiary Educn Study Assistance Scheme,,,,,,,,,
Papua New Guinea,2014,aggr,6120,education,236,2369,National Scholarships Scheme,,,,,,,,,
Papua New Guinea,2014,aggr,15000,education,236,23691,Trade Skills Scholarship,,,,,,,,,
Papua New Guinea,2014,aggr,10000,education,236,23692,Infrastructure & Rehabilitation & Recapitalisation,,,,,,,,,
Papua New Guinea,2014,aggr,,education,236,23693,OHE ICT Improvement Project,,,,,,,,,
Papua New Guinea,2012,aggr,1964,education,237, ,PNG National Commission fo UNESCO,,,,,,,,,
Papua New Guinea,2013,aggr,2104,education,237,,PNG National Commission fo UNESCO,,0.1,,,,,,,
Papua New Guinea,2014,aggr,2119,education,237,,PNG National Commission fo UNESCO,,0.0,,,,,,,
Papua New Guinea,2012,aggr,1731,education,237,2371,PNG National Commission for UNESCO,,,,,,,,,
Papua New Guinea,2012,aggr,9,education,237,2372,Education Affairs,,,,,,,,,
Papua New Guinea,2012,aggr,17,education,237,2373,Science Affairs,,,,,,,,,
Papua New Guinea,2012,aggr,20,education,237,2374,Culture & Heritage Affairs,,,,,,,,,
Papua New Guinea,2012,aggr,16,education,237,2375,Communication & Information Affairs,,,,,,,,,
Papua New Guinea,2012,aggr,171.9,education,237,2376,Corporate Affairs - UNESCO,,,,,,,,,
Papua New Guinea,2013,aggr,1848.4,education,237,2371,PNG National Commission for UNESCO,,,,,,,,,
Papua New Guinea,2013,aggr,10.7,education,237,2372,Education Affairs,,,,,,,,,
Papua New Guinea,2013,aggr,11.5,education,237,2373,Science Affairs,,,,,,,,,
Papua New Guinea,2013,aggr,11.5,education,237,2374,Culture & Heritage Affairs,,,,,,,,,
Papua New Guinea,2013,aggr,18.5,education,237,2375,Communication & Information Affairs,,,,,,,,,
Papua New Guinea,2013,aggr,203.6,education,237,2376,Corporate Affairs - UNESCO,,,,,,,,,
Papua New Guinea,2014,aggr,132,education,237,2371,PNG National Commission for UNESCO,,,,,,,,,
Papua New Guinea,2014,aggr,40,education,237,2372,Education Affairs,,,,,,,,,
Papua New Guinea,2014,aggr,45,education,237,2373,Science Affairs,,,,,,,,,
Papua New Guinea,2014,aggr,45,education,237,2374,Culture & Heritage Affairs,,,,,,,,,
Papua New Guinea,2014,aggr,35,education,237,2375,Communication & Information Affairs,,,,,,,,,
Papua New Guinea,2014,aggr,1821.6,education,237,2376,Corporate Affairs - UNESCO,,,,,,,,,
Papua New Guinea,2012,aggr,82911,education,512, ,University of Papua New Guinea,,,,,,,,,
Papua New Guinea,2013,aggr,54271,education,512,,University of Papua New Guinea,,-0.3,,,,,,,
Papua New Guinea,2014,aggr,71583,education,512,,University of Papua New Guinea,,0.3,,,,,,,
Papua New Guinea,2012,aggr,47302,education,513, ,University of Technology,,,,,,,,,
Papua New Guinea,2013,aggr,46440,education,513,,University of Technology,,0.0,,,,,,,
Papua New Guinea,2014,aggr,64440,education,513,,University of Technology,,0.4,,,,,,,
Papua New Guinea,2012,aggr,48967,education,514, ,University of Goroka,,,,,,,,,
Papua New Guinea,2013,aggr,26198,education,514,,University of Goroka,,-0.5,,,,,,,
Papua New Guinea,2014,aggr,42969,education,514,,University of Goroka,,0.6,,,,,,,
Papua New Guinea,2012,aggr,24246,education,515, ,University of Environment & Natural Resources,,,,,,,,,
Papua New Guinea,2013,aggr,17277,education,515,,University of Environment & Natural Resources,,-0.3,,,,,,,
Papua New Guinea,2014,aggr,25277,education,515,,University of Environment & Natural Resources,,0.5,,,,,,,
Papua New Guinea,2012,aggr,479976.7,education,235, ,Department for Education,,,,,,,,,
Papua New Guinea,2013,aggr,1106551.8,education,235,,Department for Education,,1.3,,,,,,,
Papua New Guinea,2014,aggr,1082254.4,education,235,,Department for Education,,0.0,,,,,,,
Papua New Guinea,2012,aggr,497,education,235,2351,Government Records and Archives,,,,,,,,,
Papua New Guinea,2012,aggr,38607,education,235,2352,Basic Education,,,,,,,,,
Papua New Guinea,2012,aggr,41357,education,235,2353,Development & Implementation of Education Standards,,,,,,,,,
Papua New Guinea,2012,aggr,43311.4,education,235,2354,General Secondary Education,,,,,,,,,
Papua New Guinea,2012,aggr,299120.6,education,235,2355,Top Management and General administration,,,,,,,,,
Papua New Guinea,2012,aggr,14121.6,education,235,2356,Vocational Education,,,,,,,,,
Papua New Guinea,2012,aggr,2093,education,235,2357,Managment of Teachers's Affairs,,,,,,,,,
Papua New Guinea,2012,aggr,19592.1,education,235,2358,Tertiary Teacher Education,,,,,,,,,
Papua New Guinea,2012,aggr,15792.7,education,235,2359,Tertiary Technical Education,,,,,,,,,
Papua New Guinea,2012,aggr,5484.8,education,235,23591,Library Services,,,,,,,,,
Papua New Guinea,2013,aggr,629,education,235,2351,Government Records and Archives,,,,,,,,,
Papua New Guinea,2013,aggr,49939,education,235,2352,Basic Education,,,,,,,,,
Papua New Guinea,2013,aggr,70540,education,235,2353,Development & Implementation of Education Standards,,,,,,,,,
Papua New Guinea,2013,aggr,47406,education,235,2354,General Secondary Education,,,,,,,,,
Papua New Guinea,2013,aggr,679030.9,education,235,2355,Top Management and General administration,,,,,,,,,
Papua New Guinea,2013,aggr,178392.3,education,235,2356,Vocational Education,,,,,,,,,
Papua New Guinea,2013,aggr,1671.5,education,235,2357,Managment of Teachers's Affairs,,,,,,,,,
Papua New Guinea,2013,aggr,31229,education,235,2358,Tertiary Teacher Education,,,,,,,,,
Papua New Guinea,2013,aggr,44734.9,education,235,2359,Tertiary Technical Education,,,,,,,,,
Papua New Guinea,2013,aggr,2978.6,education,235,23591,Library Services,,,,,,,,,
Papua New Guinea,2014,aggr,1000,education,235,2351,Government Records and Archives,,,,,,,,,
Papua New Guinea,2014,aggr,47398,education,235,2352,Basic Education,,,,,,,,,
Papua New Guinea,2014,aggr,77054,education,235,2353,Development & Implementation of Education Standards,,,,,,,,,
Papua New Guinea,2014,aggr,51901,education,235,2354,General Secondary Education,,,,,,,,,
Papua New Guinea,2014,aggr,637741.3,education,235,2355,Top Management and General administration,,,,,,,,,
Papua New Guinea,2014,aggr,185255,education,235,2356,Vocational Education,,,,,,,,,
Papua New Guinea,2014,aggr,3437,education,235,2357,Managment of Teachers's Affairs,,,,,,,,,
Papua New Guinea,2014,aggr,34332,education,235,2358,Tertiary Teacher Education,,,,,,,,,
Papua New Guinea,2014,aggr,40036,education,235,2359,Tertiary Technical Education,,,,,,,,,
Papua New Guinea,2014,aggr,4100,education,235,23591,Library Services,,,,,,,,,
Papua New Guinea,2012,aggr,0,administration,,,administration ,,,,,,,,,
Papua New Guinea,2013,aggr,0,administration,,,administration ,,,,,,,,,
Papua New Guinea,2014,aggr,3747592.8,administration,,,administration ,,,,,,,,,
Papua New Guinea,2012,aggr,135897.2,administration,201,,National Parliament,,,,,,,,,
Papua New Guinea,2013,aggr,117757.3,administration,201,,National Parliament,,-0.1,,,,,,,
Papua New Guinea,2014,aggr,130724.6,administration,201,,National Parliament,,0.1,,,,,,,
Papua New Guinea,2012,aggr,6002.5,administration,202,,Office of Governor-General,,,,,,,,,
Papua New Guinea,2013,aggr,5048.9,administration,202,,Office of Governor-General,,-0.2,,,,,,,
Papua New Guinea,2014,aggr,4706.5,administration,202,,Office of Governor-General,,-0.1,,,,,,,
Papua New Guinea,2012,aggr,5797,administration,202,2021,General Administrative Services,,,,,,,,,
Papua New Guinea,2012,aggr,205.5,administration,202,2022,Governor General's Emoluments,,,,,,,,,
Papua New Guinea,2013,aggr,4644.3,administration,202,2021,General Administrative Services,,,,,,,,,
Papua New Guinea,2013,aggr,404.6,administration,202,2022,Governor General's Emoluments,,,,,,,,,
Papua New Guinea,2014,aggr,4298.4,administration,202,2021,General Administrative Services,,,,,,,,,
Papua New Guinea,2014,aggr,408.1,administration,202,2022,Governor General's Emoluments,,,,,,,,,
Papua New Guinea,2012,aggr,114038.6,administration,203,,Department of Prime Minister & NEC,,,,,,,,,
Papua New Guinea,2013,aggr,345620.9,administration,203,,Department of Prime Minister & NEC,,2.0,,,,,,,
Papua New Guinea,2014,aggr,189336.2,administration,203,,Department of Prime Minister & NEC,,-0.5,,,,,,,
Papua New Guinea,2012,aggr,30738.6,administration,203,2031,National Policy Formulation and Co-ordination Services,,,,,,,,,
Papua New Guinea,2012,aggr,35393.3,administration,203,2032,Support to Prime Minister,,,,,,,,,
Papua New Guinea,2012,aggr,22103.6,administration,203,2033,Ministerial Services,,,,,,,,,
Papua New Guinea,2012,aggr,11698.5,administration,203,2034,General Administrative Services,,,,,,,,,
Papua New Guinea,2012,aggr,14973.1,administration,203,2035,Community College,,,,,,,,,
Papua New Guinea,2012,aggr,0,administration,203,2036,South Pacific Games 2015,,,,,,,,,
Papua New Guinea,2012,aggr,-868.5,administration,203,2037,Printing and Information Dissemination,,,,,,,,,
Papua New Guinea,2012,aggr,0,administration,203,2038,Economic and Infrastructure Development Schemes,,,,,,,,,
Papua New Guinea,2013,aggr,28134.5,administration,203,2031,National Policy Formulation and Co-ordination Services,,,,,,,,,
Papua New Guinea,2013,aggr,14421.1,administration,203,2032,Support to Prime Minister,,,,,,,,,
Papua New Guinea,2013,aggr,17032.8,administration,203,2033,Ministerial Services,,,,,,,,,
